Wavenumber,Reflectivity,,,,Wavelength um,Ref decimal,,new column for sorting,Wavelength,ref
1078.058,5.69839,,,,9.275938771,0.0569839,,,2.780293944,0.048596
1079.987,5.64942,,,,9.259370715,0.0564942,,,2.781785868,0.0490959
1081.915,5.60961,,,,9.242870281,0.0560961,,,2.783278619,0.0494339
1083.844,5.58421,,,,9.226420038,0.0558421,,,2.784773748,0.0498431
1085.773,5.5399,,,,9.210028247,0.055399,,,2.786269709,0.0503889
1087.701,5.46872,,,,9.193703049,0.0546872,,,2.787768054,0.0507275
1089.63,5.3898,,,,9.1774272,0.053898,,,2.789267234,0.0507252
1091.558,5.31564,,,,9.161217269,0.0531564,,,2.790768807,0.0507905
1093.487,5.23377,,,,9.145056137,0.0523377,,,2.792271217,0.0509133
1095.415,5.13717,,,,9.128960257,0.0513717,,,2.793776026,0.0509583
1097.344,5.03256,,,,9.112912633,0.0503256,,,2.795281676,0.0510585
1099.272,4.93047,,,,9.096929604,0.0493047,,,2.796789733,0.0511755
1101.201,4.8424,,,,9.080994296,0.048424,,,2.798299417,0.0512299
1103.129,4.77581,,,,9.065122937,0.0477581,,,2.799809949,0.051346
1105.058,4.73605,,,,9.04929877,0.0473605,,,2.801322897,0.0516468
1106.987,4.72245,,,,9.033529752,0.0472245,,,2.802836695,0.0520104
1108.915,4.72201,,,,9.017823729,0.0472201,,,2.804352917,0.0520024
1110.844,4.7317,,,,9.00216412,0.047317,,,2.805869992,0.0517643
1112.772,4.76851,,,,8.98656688,0.0476851,,,2.807389498,0.0516552
1114.701,4.82394,,,,8.971015546,0.0482394,,,2.808909862,0.0516122
1116.629,4.90378,,,,8.955525963,0.0490378,,,2.810432663,0.0514744
1118.558,5.00734,,,,8.940081784,0.0500734,,,2.811957117,0.0513271
1120.486,5.11306,,,,8.924698747,0.0511306,,,2.813482433,0.0513162
1122.415,5.22076,,,,8.90936062,0.0522076,,,2.815010197,0.0513467
1124.344,5.3306,,,,8.894075123,0.053306,,,2.816538829,0.0512714
1126.272,5.44004,,,,8.878849869,0.0544004,,,2.818069915,0.0512281
1128.201,5.54739,,,,8.863668797,0.0554739,,,2.819601872,0.0512036
1130.129,5.63854,,,,8.848547378,0.0563854,,,2.821136292,0.0510516
1132.058,5.7239,,,,8.833469663,0.057239,,,2.822671585,0.0508492
1133.986,5.79951,,,,8.818451021,0.0579951,,,2.824209348,0.0506836
1135.915,5.8516,,,,8.803475612,0.058516,,,2.825748788,0.0506369
1137.843,5.88987,,,,8.788558703,0.0588987,,,2.827289108,0.0506375
1139.772,5.90843,,,,8.773684561,0.0590843,,,2.828831107,0.0506484
1141.7,5.9003,,,,8.758868354,0.059003,,,2.830375591,0.0507376
1143.629,5.87352,,,,8.744094457,0.0587352,,,2.831921762,0.0509193
1145.557,5.82381,,,,8.729377936,0.0582381,,,2.83346882,0.0510912
1147.486,5.74588,,,,8.714703273,0.0574588,,,2.835018374,0.0511649
1149.415,5.64568,,,,8.700077866,0.0564568,,,2.836568818,0.0511333
1151.343,5.53894,,,,8.68550901,0.0553894,,,2.838121765,0.0511956
1153.272,5.43473,,,,8.670981347,0.0543473,,,2.839675607,0.05127
1155.2,5.32915,,,,8.656509695,0.0532915,,,2.841231958,0.0513969
1157.129,5.20591,,,,8.6420788,0.0520591,,,2.842789208,0.0515249
1159.057,5.06678,,,,8.627703383,0.0506678,,,2.844348975,0.0516097
1160.986,4.92476,,,,8.613368292,0.0492476,,,2.845910455,0.0517127
1162.914,4.78123,,,,8.599088153,0.0478123,,,2.847472839,0.0518423
1164.843,4.64557,,,,8.584847915,0.0464557,,,2.849037752,0.051964
1166.771,4.54211,,,,8.570662109,0.0454211,,,2.850603573,0.0520044
1168.7,4.50244,,,,8.556515787,0.0450244,,,2.852171929,0.0519629
1170.629,4.51205,,,,8.542416086,0.0451205,,,2.853741198,0.0519576
1172.557,4.54016,,,,8.528370049,0.0454016,,,2.855313009,0.0519735
1174.486,4.56572,,,,8.514362879,0.0456572,,,2.856885737,0.0519043
1176.414,4.58852,,,,8.50040887,0.0458852,,,2.858461016,0.0517922
1178.343,4.6332,,,,8.486493322,0.046332,,,2.860037215,0.0517468
1180.271,4.7095,,,,8.472630438,0.047095,,,2.861615972,0.0515546
1182.2,4.79285,,,,8.458805617,0.0479285,,,2.863196473,0.0513342
1184.128,4.88703,,,,8.445032969,0.0488703,,,2.864777899,0.0512663
1186.057,5.00051,,,,8.43129799,0.0500051,,,2.866361896,0.0511473
1187.986,5.12861,,,,8.417607615,0.0512861,,,2.867946823,0.0509354
1189.914,5.26579,,,,8.40396869,0.0526579,,,2.869534326,0.0507881
1191.843,5.39563,,,,8.390366852,0.0539563,,,2.871122764,0.0506561
1193.771,5.52256,,,,8.376815989,0.0552256,,,2.872713787,0.0505133
1195.7,5.65055,,,,8.363301832,0.0565055,,,2.874305747,0.0504258
1197.628,5.76415,,,,8.34983818,0.0576415,,,2.875900301,0.0503315
1199.557,5.84991,,,,8.336410858,0.0584991,,,2.877496624,0.0502284
1201.485,5.92451,,,,8.323033579,0.0592451,,,2.879093892,0.0502216
1203.414,5.97964,,,,8.309692259,0.0597964,,,2.880693763,0.0502859
1205.343,6.00849,,,,8.296393641,0.0600849,,,2.882294583,0.0503087
1207.271,6.01661,,,,8.283144381,0.0601661,,,2.883898015,0.0503113
1209.2,5.99156,,,,8.269930533,0.0599156,,,2.885502399,0.0503983
1211.128,5.9424,,,,8.256765594,0.059424,,,2.887109403,0.0505096
1213.057,5.88344,,,,8.243635707,0.0588344,,,2.888717363,0.0506131
1214.985,5.8051,,,,8.230554287,0.058051,,,2.890327951,0.0507047
1216.914,5.70216,,,,8.217507564,0.0570216,,,2.891940336,0.0508455
1218.842,5.5816,,,,8.20450887,0.055816,,,2.893553683,0.0510173
1220.771,5.4505,,,,8.191544524,0.054505,,,2.895168832,0.0510745
1222.699,5.31738,,,,8.178627773,0.0531738,,,2.896786624,0.0511225
1224.628,5.18424,,,,8.165745026,0.0518424,,,2.898406224,0.0512714
1226.557,5.04894,,,,8.1529028,0.0504894,,,2.900026796,0.0514029
1228.485,4.92168,,,,8.140107531,0.0492168,,,2.901650023,0.05148
1230.414,4.79478,,,,8.127345755,0.0479478,,,2.903274226,0.0514715
1232.342,4.67823,,,,8.114630517,0.0467823,,,2.904901091,0.0514174
1234.271,4.58787,,,,8.101948438,0.0458787,,,2.906528936,0.0513641
1236.199,4.52027,,,,8.089312481,0.0452027,,,2.908159452,0.0512699
1238.128,4.47808,,,,8.076709355,0.0447808,,,2.909790952,0.0511508
1240.056,4.46204,,,,8.064151942,0.0446204,,,2.911425131,0.0510264
1241.985,4.46644,,,,8.051627033,0.0446644,,,2.913061147,0.050878
1243.913,4.50028,,,,8.039147432,0.0450028,,,2.914698152,0.0507857
1245.842,4.5545,,,,8.026700015,0.045545,,,2.91633785,0.0507021
1247.771,4.62693,,,,8.014291084,0.0462693,,,2.917978541,0.0505157
1249.699,4.71566,,,,8.001926864,0.0471566,,,2.919621932,0.0502777
1251.628,4.81234,,,,7.989594352,0.0481234,,,2.921266322,0.0501019
1253.556,4.90795,,,,7.977306159,0.0490795,,,2.92291342,0.0498869
1255.485,5.01432,,,,7.965049363,0.0501432,,,2.92456152,0.0497488
1257.413,5.13684,,,,7.952836498,0.0513684,,,2.926212337,0.0496998
1259.342,5.26735,,,,7.940654723,0.0526735,,,2.927865018,0.0495579
1261.27,5.38781,,,,7.928516495,0.0538781,,,2.929518709,0.0495137
1263.199,5.49062,,,,7.916409054,0.0549062,,,2.931175129,0.0495278
1265.127,5.57496,,,,7.904344781,0.0557496,,,2.932832562,0.0495331
1267.056,5.62926,,,,7.892310995,0.0562926,,,2.934492732,0.0496183
1268.985,5.65842,,,,7.880313794,0.0565842,,,2.93615392,0.0497069
1270.913,5.67235,,,,7.868359203,0.0567235,,,2.937817854,0.0497973
1272.842,5.6652,,,,7.856434656,0.056652,,,2.93948281,0.0499804
1274.77,5.64111,,,,7.844552351,0.0564111,,,2.941150519,0.0501647
1276.699,5.5961,,,,7.832699798,0.055961,,,2.942819256,0.0502971
1278.627,5.52773,,,,7.820889126,0.0552773,,,2.944490755,0.0503752
1280.556,5.42773,,,,7.809107919,0.0542773,,,2.946164153,0.0504818
1282.484,5.29867,,,,7.797368232,0.0529867,,,2.947838586,0.0506073
1284.413,5.15334,,,,7.785657728,0.0515334,,,2.949515793,0.050723
1286.342,5.00421,,,,7.773982347,0.0500421,,,2.951194038,0.0507899
1288.27,4.84909,,,,7.762347955,0.0484909,,,2.952875067,0.0509334
1290.199,4.68456,,,,7.750742327,0.0468456,,,2.954557138,0.0510803
1292.127,4.51672,,,,7.739177341,0.0451672,,,2.956242002,0.0510663
1294.056,4.35584,,,,7.727640844,0.0435584,,,2.957927912,0.0510577
1295.984,4.21538,,,,7.716144644,0.0421538,,,2.959616623,0.0510306
1297.913,4.1038,,,,7.704676662,0.041038,,,2.961307263,0.0509939
1299.841,4.00846,,,,7.693248636,0.0400846,,,2.962998958,0.050935
1301.77,3.93325,,,,7.68184856,0.0393325,,,2.964692587,0.0507806
1303.698,3.88522,,,,7.670488104,0.0388522,,,2.966389032,0.0505577
1305.627,3.88299,,,,7.659155333,0.0388299,,,2.968087421,0.0503574
1307.556,3.92735,,,,7.647856,0.0392735,,,2.969786873,0.0501585
1309.484,3.9889,,,,7.636595789,0.039889,,,2.971489156,0.0499597
1311.413,4.07081,,,,7.625362872,0.0407081,,,2.973192507,0.0498285
1313.341,4.17824,,,,7.61416875,0.0417824,,,2.974898697,0.0496924
1315.27,4.2999,,,,7.603001665,0.042999,,,2.976605961,0.0495743
1317.198,4.44055,,,,7.591873052,0.0444055,,,2.978316072,0.0494464
